ปี,หมายเลขบ่อน้ำบาดาล / หมายเลขอื่น ๆ,สถานที่ตั้งบ่อ,จังหวัด,อำเภอ,ตำบล,ความลึกของบ่อ,pH,EC,ความขุ่น,สี,แคลเซียม,แมกนีเซียม,โซเดียม,โพแทสเซียม,เหล็ก,แมงกานีส,ทองแดง,สังกะสี,ซัลเฟต,คลอโรด์,คาร์บอเนต,โบคาร์บอเนต,ฟลูออไรด์,ไนไทรต์,ไนเทรด,ความกระด้างทั้งหมด,ความกระกระด่างถาวร,TDS,สารหนู,ตะกั่ว,แคดเมียม,โครเมียม,ปรอท,ซีลีเนียม
2564,6309A063,บ้านห้วงปลาดุก บ่อที่ 1 ตำบลนายายอาม อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,นายายอาม,90,6.7,211,-,-,2.6,5.0,39,0.50,0.2,0.3,-,-,13,24,0,82,0.4,-,< 0.9,27,0,137,,,,,,
2568,6709B038,บ้านบ่อยาง (บ่อแก้) ตำบลทุ่งขนาน อำเภอสอยดาว จังหวัดจันทบุรี,จันทบุรี,สอยดาว,ทุ่งขนาน,100,6.6,756,4.3,-,120,16,27,0.55,0.6,0.1,0.0,0.0,10,17,0,455,0.2,-,21,360,0,491,,,,,,
2565,5909A026,บ้านเนินมณฑา ตำบลกระแจะ อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,กระแจะ,-,7.3,503,0.1,-,74,7.1,23,0.62,1.7,0.6,-,-,1,46,0,236,0.1,-,< 0.9,210,20,327,,,,,,
2565,5909B020,บ้านทุ่งยายทอง ตำบลแก่งหางแมว อำเภอแก่งหางแมว จังหวัดจันทบุรี,จันทบุรี,แก่งหางแมว,แก่งหางแมว,-,7.9,332,0.2,-,52,9.6,8.0,0.28,0.2,0.1,-,-,< 1,2.4,0,227,0.2,-,< 0.9,170,0,216,,,,,,
2565,5909B011,บ้านต้นไทร ตำบลแก่งหางแมว อำเภอแก่งหางแมว จังหวัดจันทบุรี,จันทบุรี,แก่งหางแมว,แก่งหางแมว,-,7.5,524,0.1,-,61,25,19,0.30,2.4,0.1,-,-,< 1,8.0,0,350,0.3,-,< 0.9,260,0,341,,,,,,
2565,5909B011,บ้านต้นไทร ตำบลแก่งหางแมว อำเภอแก่งหางแมว จังหวัดจันทบุรี,จันทบุรี,แก่งหางแมว,แก่งหางแมว,-,7.5,533,0.7,-,67,24,18,0.30,0.0,0.0,-,-,< 1,9.2,0,360,0.3,-,< 0.9,270,0,346,,,,,,
2565,5909B020,บ้านทุ่งยายทอง ตำบลแก่งหางแมว อำเภอแก่งหางแมว จังหวัดจันทบุรี,จันทบุรี,แก่งหางแมว,แก่งหางแมว,-,7.8,331,2.1,-,53,8.1,7.9,0.33,0.3,0.2,-,-,< 1,3.2,0,226,0.2,-,< 0.9,170,0,215,,,,,,
2562,5943G024,วัดวังอีแอ่น ตำบลพวา อำเภอแก่งหางแมว จังหวัดจันทบุรี,จันทบุรี,แก่งหางแมว,พวา,60,7.8,466,-,-,74,9.5,19,1.2,0.3,0.6,0.0,0.0,< 1,5.2,0,324,0.1,0.00,< 0.9,220,0,303,,,,,,
2565,5909F021,บ้านสามผาน ตำบลสองพี่น้อง อำเภอท่าใหม่ จังหวัดจันทบุรี,จันทบุรี,ท่าใหม่,สองพี่น้อง,-,8.7,203,5.4,-,28,4.5,12,0.77,1.2,0.1,-,-,< 1,2.8,0,140,0.0,-,< 0.9,89,0,132,,,,,,
2565,5909B018,บ้านวังแก่ง ตำบลแก่งหางแมว อำเภอแก่งหางแมว จังหวัดจันทบุรี,จันทบุรี,แก่งหางแมว,แก่งหางแมว,-,8.0,148,3.3,-,19,4.9,5.2,0.90,0.1,0.0,-,-,< 1,9.6,0,81,0.1,-,3.8,67,1,96,,,,,,
2565,5909F021,บ้านสามผาน ตำบลสองพี่น้อง อำเภอท่าใหม่ จังหวัดจันทบุรี,จันทบุรี,ท่าใหม่,สองพี่น้อง,-,7.5,217,1.3,-,29,4.3,13,0.66,0.9,0.1,-,-,< 1,3.2,0,143,0.1,-,< 0.9,91,0,141,,,,,,
2565,5909B018,บ้านวังแก่ง ตำบลแก่งหางแมว อำเภอแก่งหางแมว จังหวัดจันทบุรี,จันทบุรี,แก่งหางแมว,แก่งหางแมว,-,7.5,149,2.2,-,19,3.2,5.4,0.90,0.1,0.0,-,-,< 1,8.8,0,78,0.1,-,4.3,60,0,97,,,,,,
2568,6509B005,เทศบาลตำบลปัถวี  บ้านคลองเวฬุ ตำบลปัถวี อำเภอมะขาม จังหวัดจันทบุรี,จันทบุรี,มะขาม,ปัถวี,-,7.0,294,11,-,41,6.7,19,1.8,1.3,0.0,0.0,0.3,5,1.6,0,181,0.2,0.00,17,130,0,191,,,,,,
2562,6209G006,บ้านบ่อยาง ตำบลทุ่งขนาน อำเภอสอยดาว จังหวัดจันทบุรี,จันทบุรี,สอยดาว,ทุ่งขนาน,98,7.3,603,-,-,91,19,22,1.1,0.0,0.0,-,-,11,6.4,0,372,0.3,-,14,310,2,392,,,,,,
2565,6509A008,หมู่บ้านคชานุรักษ์ ตำบลพวา อำเภอแก่งหางแมว จังหวัดจันทบุรี,จันทบุรี,แก่งหางแมว,พวา,80,6.9,398,1.4,-,16,6.1,67,2.1,0.1,0.0,0.0,0.1,17,43,0,159,0.4,-,< 0.9,64,0,259,,,,,,
2565,6509B005,เทศบาลตำบลปัถวี บ่อที่ 4 ตำบลปัถวี อำเภอมะขาม จังหวัดจันทบุรี,จันทบุรี,มะขาม,ปัถวี,150,6.9,348,16,-,49,5.3,23,1.6,7.8,0.9,0.0,0.0,3,2.4,0,224,0.2,-,23,140,0,226,,,,,,
2562,6209C024,บ้านคลองตาคง ตำบลโป่งน้ำร้อน อำเภอโป่งน้ำร้อน จังหวัดจันทบุรี,จันทบุรี,โป่งน้ำร้อน,โป่งน้ำร้อน,92,10.0,341,-,-,9.8,2.4,54,2.2,0.1,0.0,-,-,12,32,70,-20,0.5,0.02,< 0.9,34,0,222,,,,,,
2563,6209D029,บ้านคลองมะงั่ว ตำบลคลองนารายณ์ อำเภอเมืองจันทบุรี จังหวัดจันทบุรี,จันทบุรี,เมืองจันทบุรี,คลองนารายณ์,92,6.3,70,-,-,3.8,1.9,2.5,0.70,0.0,0.1,-,-,< 1,4.0,0,24,0.1,0.00,< 0.9,17,0,46,,,,,,
2565,5909B010,บ้านช่องกะพัด ตำบลแก่งหางแมว อำเภอแก่งหางแมว จังหวัดจันทบุรี,จันทบุรี,แก่งหางแมว,แก่งหางแมว,-,7.3,547,0.4,-,48,13,27,0.30,0.2,0.1,-,-,3,11,0,267,0.2,-,< 0.9,170,0,356,,,,,,
2565,5909F023,บ้านใหม่ (จุดที่ 1) ตำบลโป่งน้ำร้อน อำเภอโป่งน้ำร้อน จังหวัดจันทบุรี,จันทบุรี,โป่งน้ำร้อน,โป่งน้ำร้อน,-,7.3,"1,070",0.9,-,25,82,74,0.24,0.0,0.0,-,-,8,48,0,530,1.7,-,< 0.9,400,0,696,,,,,,
2565,6009F005,บ้านคมบาง ตำบลคมบาง อำเภอเมืองจันทบุรี จังหวัดจันทบุรี,จันทบุรี,เมืองจันทบุรี,คมบาง,-,6.7,58,0.2,-,2.4,1.2,4.0,0.70,3.1,0.1,-,-,2,6.0,0,9,0.1,-,2.4,11,3,38,,,,,,
2565,5909B021,บ้านห้วงปลาดุก ตำบลนายายอาม อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,นายายอาม,-,7.5,334,1.2,-,32,10,29,0.96,0.2,0.3,-,-,1,8.4,0,210,0.3,-,< 0.9,120,0,217,,,,,,
2568,5709G040,โรงเรียนบ้านเนินดินแดง ตำบลเทพนิมิต อำเภอโป่งน้ำร้อน จังหวัดจันทบุรี,จันทบุรี,โป่งน้ำร้อน,เทพนิมิต,-,6.7,512,1.0,-,37,28,22,6.2,0.0,0.0,0.0,12,12,32,0,186,0.9,0.00,72,210,54,333,,,,,,
2568,5709G040,โรงเรียนบ้านเนินดินแดง ตำบลเทพนิมิต อำเภอโป่งน้ำร้อน จังหวัดจันทบุรี,จันทบุรี,โป่งน้ำร้อน,เทพนิมิต,-,7.0,483,1.5,-,42,23,22,5.3,0.6,0.0,0.0,0.1,17,33,0,166,0.2,0.00,62,200,61,314,,,,,,
2564,6309F057,บ้านสระบาปบน ตำบลคลองนารายณ์ อำเภอเมืองจันทบุรี จังหวัดจันทบุรี,จันทบุรี,เมืองจันทบุรี,คลองนารายณ์,74,6.6,218,-,-,31,6.7,9.8,3.6,0.2,0.2,-,-,< 1,5.6,0,146,0.4,-,< 0.9,100,0,142,,,,,,
2562,6109C035,บ้านประแกต ตำบลสามพี่น้อง อำเภอแก่งหางแมว จังหวัดจันทบุรี,จันทบุรี,แก่งหางแมว,สามพี่น้อง,80,7.6,274,-,-,41,8.6,9,0.6,0.5,0.3,-,-,1,< 1.5,0,181,0.2,-,1.2,140,0,178,,,,,,
2565,6509A016,บ้านคลองขวาง ตำบลแสลง อำเภอเมืองจันทบุรี จังหวัดจันทบุรี,จันทบุรี,เมืองจันทบุรี,แสลง,90,6.7,145,4.3,-,15,4.7,9.4,1.6,0.9,0.1,0.0,0.0,4,2.4,0,90,0.1,-,< 0.9,56,0,94,,,,,,
2564,6309E060,บ้านห้วงปลาดุก ตำบลนายายอาม อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,นายายอาม,60,8.2,626,-,-,24,30,91,4.1,0.0,0.0,-,-,8,16,0,416,0.9,-,9.0,180,0,407,,,,,,
